黒い
かわいい
泣く
おいしい
あさって
あなた
ありがとう
いきもの
いす
いっぱい
イヌ
おいしさ
おかし
おじいさん
おととい
姉
兄
仕事
お茶
友達
かばん
カメラ
ゲーム
スプーン
スポーツ
ねこ
ねずみ
ハサミ
ピンク
めがね
りんご
雨
黄色
音
夏
家
花
海
丸
顔
魚
靴
くつした
犬
口
黒
山
車
手
鼻
腹
本
目
石
雪
川
足
虫
鳥
弟
頭
雨の中
遠い未来
波の音
蝉の声
真っ赤な嘘
百万年後
一年後
十年後
二十年後
ガラスの破片
くすぐる
ぐにゃぐにゃ
つらい
飲む
寒い
甘い
頑張る
嬉しい
帰る
気持ちいい
叫ぶ
古い
考える
小さい
伸びる
新しい
怖い
面白い
遊ぶ
恋する
話す
キラキラ
しっとり
ズルい
たくましい
つらぬく
ドロドロ
ばらまく
ひっくりかえる
ひっくり返す
ふざける
ぶら下げる
ふわふわ
べっとり
まとまる
まろやか
みっともない
もったいない
やわらかい
溢れる
引く
引っ越す
温める
過ぎる
過ぎ去る
解ける
回る
改める
丸める
現れる
厚い
砕く
止める
失う
湿る
煮る
若い
取る
浸す
剥がす
縛る
悲しむ
色鮮やか
謝る
輝く
固まる
絡まる
重なる
逆らう
戦う
耕す
働く
羽ばたく
笑わす
空回る
立ち上がる
歩き出す
役立つ
転がる
頬張る
寝坊する
別れる
変わらない
変わる
忘れる
暴れる
明るい
迷う
鳴く
お腹いっぱい
足が速い
おとなしい
目立つ
戻る
役に立つ
遊べる
揺れる
溶ける
落ちる
落ち着く
落とす
いつまでも
何度でも
集める
消す
焼く
笑う
生きる
青い
積む
赤い
切る
走る
増やす
大きい
暖かい
知らない
知る
着る
怒る
投げる
動く
突き刺す
熱い
燃やす
白い
ケータイ
1000年後
100円玉
10円玉
10月
11月
12月
1円玉
1月
1番
2月
3月
3連休
4月
500円玉
5円玉
5月
6月
7月
80代
8月
9月
CM
アーティスト
あいうえお
あいこ
アイス
アイスキャンディー
アイスクリーム
アイロン
あぐら
アツアツ
アニメ
アリ
アルファベット
いじわる
いちご
イベント
いも
いもむし
イルカ
インターネット
インタビュー
ウイルス
ウーロン茶
うちわ
うどん
エンジン
オーケストラ
オーディション
おかず
おたま
おでん
おみやげ
オムレツ
お化け
お気に入り
お好み焼き
おこづかい
誕生日
お弁当
お母さん
薬
カーテン
カエル
かかと
カステラ
ガソリン
カニ
カフェ
カブト虫
カモメ
からあげ
カラオケ
カレー
カレーライス
カレンダー
きぐるみ
キノコ
ギャグ
キャベツ
キャラメル
キリン
くじら
クッション
クマ
クラゲ
グラス
クリームパン
クレープ
クワガタ
ケーキ
ケチャップ
げんこつ
コイン
コーヒー
コーラ
ゴール
コショウ
こたつ
ゴミ
ゴミ箱
コンセント
コンテスト
こんにゃく
コンピューター
ご飯
サーフィン
サッカー
サツマイモ
サボテン
サメ
サラダ
サラリーマン
サランラップ
サングラス
サンタクロース
サンダル
シーソー
しいたけ
ジム
じゃがいも
シャワー
じゃんけんぽん
シュークリーム
スイカ
スイッチ
スカート
すごろく
スズメ
スパゲッティ
スプレー
すべり台
スマホ
スリッパ
セミ
せんべい
そうめん
ソース
ソーセージ
そば
ソフトクリーム
